"name","id"
Budapest,1
Budapest-Déli,2
Budapest-Kelenföld,3
Budaörs,4
Biatorbágy,5
Herceghalom,6
Bicske,7
Szár,8
Szárliget,9
Alsógalla,11
Tatabánya,12
Vértesszőlős,13
Tóvároskert,14
Tata,15
Almásfüzitő,16
Almásfüzitő felső,17
Szőny,18
Komárom,20
Ács,21
Nagyszentjános,22
Győrszentiván,23
Győr-Gyárváros,24
Győr,26
Abda,27
Öttevény,28
Lébény-Mosonszentmiklós,29
Kimle-Károlyháza,30
Mosonmagyaróvár,31
Levél,32
Óbuda,35
Üröm,36
Solymár,37
Pilisvörösvár,38
Klotildliget,39
Piliscsaba,40
Pilisjászfalu,41
Leányvár,42
Dorog,43
Esztergom-Kertváros,44
Esztergom,45
Dunaalmás,46
Neszmély,47
Süttő,48
Piszke,49
Lábatlan,50
Eternitgyár,51
Nyergesújfalu felső,52
Nyergesújfalu,53
Tokod,55
Környe,63
Kecskéd alsó,64
Oroszlány,65
Győrszabadhegy,83
Ménfőcsanak felső,84
Ménfőcsanak,85
Győrszemere,86
Halipuszta,87
Gyömöre-Tét,88
Gyömöre,89
Szerecseny,90
Gecse-Gyarmat,91
Vaszar,92
Pápa,93
Mezőlak,94
Mihályháza,95
Vinár,96
Külsővat,97
Celldömölk,98
Kemenesmihályfa,99
Nagysimonyi,100
Ostffyasszonyfa,101
Sárvár,102
Szombathely-Szőlős,106
Ják-Balogunyom,107
Egyházasrádóc,108
Körmend,109
Csákánydoroszló,110
Rátót,111
Alsórönök,112
Szentgotthárd,113
Győr GySEV,130
Ikrény,131
Rábapatona,132
Enese,133
Kóny,134
Farád,137
Rábatamási,138
Szárföld,139
Veszkény,140
Kapuvár,141
Vitnyéd-Csermajor,142
Petőháza,144
Fertőszentmiklós,145
Pinnye,146
Fertőboz,147
Sopron,149
Fertőszéplak-Fertőd,152
Nyúl,155
Pannonhalma,157
Tarjánpuszta,158
Győrasszonyfa,159
Veszprémvarsány,160
Bakonyszentlászló,161
Porva-Csesznek,162
Zirc,163
Eplény,165
Marcaltő,166
Szany-Rábaszentandrás,167
Egyed-Rábacsanak,168
Rábapordány,169
Albertfalva,170
Budafok,171
Tétényliget,173
Érd alsó,174
Tárnok,175
Martonvásár,176
Baracska,177
Pettend,178
Kápolnásnyék,179
Velence,180
Velencefürdő,181
Gárdony,182
Agárd,183
Székesfehérvár,185
Szabadbattyán,186
Kiscséripuszta,187
Lepsény,188
Balatonaliga,189
Balatonvilágos,190
Szabadifürdő,191
Szabadisóstó,192
Siófok,193
Balatonszéplak felső,194
Balatonszéplak alsó,195
Zamárdi felső,196
Zamárdi,197
Szántód-Kőröshegy,198
Balatonföldvár,199
Balatonszárszó,200
Balatonszemes,201
Balatonlelle felső,202
Balatonlelle,203
Fonyódliget,204
Balatonboglár,205
Balatonfenyves alsó,206
Fonyód,207
Bélatelep,208
Alsóbélatelep,209
Balatonfenyves,210
Balatonmáriafürdő,212
Balatonberény,213
Balatonszentgyörgy,214
Vörs,215
Sávoly,216
Zalaszentjakab,217
Nagyrécse,218
Nagykanizsa,219
Fityeház,220
Murakeresztúr,221
Zalakomár,222
Bodajk,227
Csókakő,229
Mór,230
Bakonysárkány,232
Kisbér,233
Nagyigmánd-Bábolna,236
Szőny-Déli,238
Várpalota,242
Pétfürdő,246
Hajmáskér,247
Veszprém,248
Herend,249
Szentgál,250
Városlőd,251
Városlőd-Kislőd,252
Ajka,253
Ajka-Gyártelep,254
Devecser,256
Somlóvásárhely,257
Tüskevár,258
Karakószörcsök,259
Kerta,260
Boba,261
Börgönd,262
Belsőbáránd,263
Aba-Sárkeresztúr,265
Zichyújfalu,274
Seregélyes,275
Polgárdi-Ipartelepek,276
Polgárdi,277
Füle,278
Zánkafürdő,279
Csajág,280
Balatonakarattya,281
Balatonkenese,283
Balatonfűzfő,284
Balatonalmádi,285
Káptalanfüred,286
Alsóörs,287
Csopak,288
Balatonarács,289
Balatonfüred,290
Aszófő,291
Örvényes,292
Balatonudvari,293
Fövenyes,294
Balatonakali-Dörgicse,295
Zánka-Köveskál,296
Balatonszepezd,297
Szepezdfürdő,298
Révfülöp,299
Balatonrendes,300
Ábrahámhegy,301
Badacsonyörs,302
Badacsonytomaj,303
Badacsony,304
Badacsonylábdihegy,305
Badacsonytördemic-Szigliget,306
Nemesgulács-Kisapáti,307
Tapolca,308
Lesencetomaj,310
Uzsabánya alsó,311
Uzsa,312
Sümegi Bazaltbánya,314
Sümeg,315
Gógánfa,316
Ukk,317
Nemeskeresztúr,318
Jánosháza,319
Fenékpuszta,322
Keszthely,323
Alsógyenes,324
Gyenesdiás,325
Vonyarcvashegy,326
Balatongyörök,327
Becehegy,328
Balatonederics,329
Dabronc,330
Türje,332
Zalabér-Batyk,333
Pakod,334
Pókaszepetk,335
Kemendollár,336
Zalaegerszeg,337
Bocfölde,338
Sárhida,339
Bak,340
Tófej,341
Gutorfölde,342
Csömödér-Páka,343
Iklódbördőce,344
Lenti,345
Rédics,346
Zalalövő,349
Zalaegerszeg-Ola,350
Andráshida,351
Bagod,352
Zalaszentgyörgy,353
Zalacséb-Salomvár,354
Kópháza,356
Nagycenk,357
Sopronkövesd,359
Lövő,360
Újkér,362
Bük,363
Acsád,364
Salköveskút-Vassurány,365
Alsónemesapáti,375
Nagykapornak,376
Búcsúszentlászló,377
Zalaszentmihály-Pacsa,378
Pötréte,379
Felsőrajk,380
Gelse,382
Újudvar,385
Belezna,390
Őrtilos,391
Zákány,392
Berzence,393
Somogyudvarhely,394
Bélavár,395
Vízvár,396
Babócsa,397
Péterhida-Komlósd,398
Barcs,400
Barcs felső,401
Középrigóc,402
Darány,403
Kisdobsza,404
Nemeske,405
Molvány,406
Szigetvár,407
Nagypeterd,409
Szentdénes,410
Háros,411
Nagytétény-Diósd,412
Érdliget,413
Érd felső,414
Érd,415
Százhalombatta,416
Dunai Finomító,417
Ercsi,418
Iváncsa,419
Pusztaszabolcs,420
Szabadegyháza,421
Sárosd,422
Nagylók,423
Sárbogárd,424
Rétszilas,425
Sáregres,426
Simontornya,427
Tolnanémedi,428
Pincehely,429
Keszőhidegkút-Gyönk,430
Szárazd,431
Regöly,432
Szakály-Hőgyész,433
Dúzs,434
Csibrák,435
Kurd,436
Döbrököz,437
Dombóvár,438
Dombóvár alsó,439
Kapospula,440
Attala,441
Csoma-Szabadi,442
Nagyberki,443
Baté,444
Kaposhomok,445
Taszár,446
Kaposszentjakab,447
Kaposvár,448
Kaposújlak,449
Kaposmérő,450
Kaposfő,451
Kiskorpád,452
Jákó-Nagybajom,453
Kutas,454
Beleg,455
Ötvöskónyi,456
Somogyszob,457
Bolhás,458
Szenta,459
Zrínyitelep,460
Csurgó,461
Porrogszentkirály,462
Gyékényes,463
Adony,464
Kulcs,466
Rácalmás,467
Dunaújváros külső,468
Dunaújváros,469
Újvenyim,471
Mezőfalva,472
Nagykarácsony felső,478
Nagykarácsony,479
Alap,480
Cece,481
Vajta,482
Rétszilas alsó,483
Nagydorog,484
Tengelic,487
Fácánkert,489
Tolna-Mözs,490
Szekszárd-Palánk,491
Szekszárd,492
Őcsény,493
Decs,494
Csikóstőttős,510
Mágocs-Alsómocsolád,511
Szalatnak,512
Máza-Szászvár,514
Váralja,515
Nagymányok,516
Hidas-Bonyhád,517
Mőcsény,519
Bátaszék,522
Pörböly,523
Baja-Dunafürdő,524
Kaposszekcső,525
Vásárosdombó,526
Sásd,527
Godisa,528
Abaliget,529
Hetvehely,530
Bükkösd,531
Cserdi-Helesfa,532
Szentlőrinc,533
Bicsérd,534
Mecsekalja-Cserkút,535
Pécs,536
Pécs-Külváros,537
Pécsbánya-Rendező,538
Pécsudvard,539
Szőkéd,540
Áta,541
Kistótfalu,542
Vokány,543
Palkonya,544
Villánykövesd,545
Villány,546
Magyarbóly,547
Magyarhertelend,548
Magyarszék,549
Mecsekpölöske,550
Mecsekjánosi,551
Komló,553
Királyegyháza-Rigópuszta,554
Sumony,555
Okorág-Kárászpuszta,556
Kákics,557
Palotabozsok,568
Bóly,570
Mohács,571
Sellye,578
Toponár,591
Somogyaszaló,592
Mernye,593
Felsőmocsolád,594
Kisbárapáti,595
Bonnya,596
Andocs,597
Karád,598
Somogymeggyes,599
Kapoly,600
Tab,601
Bábonymegyer,602
Daránypuszta,603
Som-Nagyberény,604
Ádánd,605
Siójut,606
Kapostüskevár,607
Kaposfüred,608
Várda,609
Somogyjád,610
Osztopán,611
Pamuk,612
Somogyvár,613
Öreglak,614
Tatárvár,615
Lengyeltóti,616
Pusztaberény,617
Nagyatád,627
Budapest-Keleti,635
Ferencváros,636
Budapest-Nyugati,637
Kőbánya felső,641
Rákos,642
Rákosrendező,643
Zugló,644
Soroksári út,646
Angyalföld,647
Istvántelek,648
Rákospalota-Újpest,649
Kőbánya alsó,650
Kőbánya-Kispest,652
Pestszentlőrinc,653
Kispest,654
Újpest,655
Pesterzsébet,658
Soroksár,659
Pestszentimre felső,661
Dunakeszi,663
Dunakeszi-Gyártelep,665
Alsógöd,666
Göd,667
Felsőgöd,668
Sződ-Sződliget,669
Vác,670
Verőce,671
Kismaros,672
Nagymaros-Visegrád,673
Nagymaros,674
Zebegény,675
Szob,676
Alagimajor,677
Fót,678
Fótújfalu,679
Csomád,680
Veresegyház,681
Erdőkertes,682
Őrbottyán,683
Váchartyán,684
Magyarkút-Verőce,685
Szokolya,686
Berkenye,687
Nógrád,688
Diósjenő,689
Borsosberény,690
Nagyoroszi,691
Drégelyvár,692
Drégely,693
Drégelypalánk,694
Ipolyvece,695
Dejtár,696
Ipolyszög,697
Iklad-Domony,702
Iklad-Domony felső,703
Galgamácsa,704
Vácrátót,705
Csörög,706
Galgagyörk,707
Püspökhatvan,708
Acsa-Erdőkürt,709
Galgaguta,710
Nógrádkövesd,711
Magyarnándor,712
Mohora,713
Szügy,714
Balassagyarmat,715
Őrhalom,716
Hugyag,717
Szécsény,718
Ludányhalászi,719
Nógrádszakál,720
Ráróspuszta,721
Litke,722
Ipolytarnóc,723
Rákosliget,724
Rákoscsaba-Újtelep,725
Rákoscsaba,726
Pécel,727
Isaszeg,728
Gödöllő,729
Máriabesnyő,730
Bag,731
Aszód,732
Hévízgyörk,733
Galgahévíz,734
Tura,735
Hatvan,736
Hort-Csány,738
Vámosgyörk,739
Adács,740
Karácsond,741
Ludas,742
Nagyút,743
Kál-Kápolna,744
Füzesabony,745
Szihalom,746
Mezőkövesd,747
Mezőkövesd felső,748
Mezőkeresztes-Mezőnyárád,749
Csincse,750
Emőd,751
Nyékládháza,752
Miskolc-Tiszai,754
Felsőzsolca,755
Hernádnémeti-Bőcs,756
Tiszalúc,757
Taktaharkány,758
Taktaszada,759
Szerencs,760
Mezőzombor,761
Tarcal,762
Tokaj,763
Rakamaz,764
Görögszállás,765
Nyírtelek,766
Rákoshegy,767
Ecser,768
Maglód,769
Maglódi nyaraló,770
Gyömrő,771
Mende,772
Szőlősnyaraló,773
Sülysáp,774
Tápiószecső,775
Szentmártonkáta,776
Nagykáta,777
Farmos,778
Tápiószele,779
Tápiógyörgye,780
Újszász,781
Szurdokpüspöki,782
Mátravidéki Erőmű,783
Lőrinci,784
Selyp,785
Apc-Zagyvaszántó,786
Pásztó,787
Mátraszőlős-Hasznos,788
Tar,789
Mátraverebély,790
Nagybátony,791
Kisterenye,792
Kisterenye-Bányatelep,793
Salgótarján külső,794
Zagyvapálfalva,795
Salgótarján,796
Somoskőújfalu,797
Jászfényszaru,798
Pusztamonostor,799
Jászberény,800
Meggyespele,801
Portelek,802
Jászboldogháza-Jánoshida,803
Jászárokszállás,805
Jászdózsa,806
Jászapáti,807
Jászkisér,808
Jászladány,810
Szászberek,811
Gyöngyöshalász,812
Gyöngyös,813
Homokterenye,825
Mátranovák-Homokterenye,826
Erdőtelek,827
Heves,828
Hevesvezekény,829
Tarnaszentmiklós,830
Kisköre,831
Abádszalók,832
Kunhegyes,834
Kenderes,835
Maklár,837
Andornaktálya,838
Eger,839
Egervár,840
Eger-Felnémet,841
Szarvaskő,842
Mónosbél,843
Bélapátfalva,844
Bélapátfalvi Cementgyár,845
Szilvásvárad,846
Hejőkeresztúr,851
Tiszaújváros,852
Miskolc-Gömöri,860
Sajókeresztúr,862
Sajóecseg,863
Sajószentpéter-Piactér,865
Sajószentpéter,866
Berente,867
Kazincbarcika,869
Sajókaza,870
Vadna,871
Dubicsány,872
Putnok,873
Bánréve,874
Sajónémeti,875
Ózd alsó,877
Ózd,878
Alsóboldva,879
Boldva,880
Borsodszirák,881
Edelény alsó,882
Edelény,883
Szendrőlád,884
Szendrő,885
Szendrő felső,886
Szalonna,887
Perkupa,888
Szemeretelep,889
Jósvafő-Aggtelek,890
Bódvaszilas,891
Komjáti,892
Tornanádaska,893
Onga,900
Szikszó-Vásártér,902
Szikszó,903
Aszaló,904
Halmaj,905
Csobád,906
Ináncs,907
Forró-Encs,908
Méra,909
Novajidrány,910
Hernádvécse,911
Hernádszurdok,912
Hidasnémeti,913
Mád,914
Rátka,915
Tállya,916
Golop,917
Abaújszántó,918
Abaújszántói fürdő,919
Abaújkér,920
Boldogkőváralja,921
Korlát-Vizsoly,922
Fony,923
Hejce-Vilmány,924
Göncruszka,925
Gönc,926
Zsujta,927
Bodrogkeresztúr,928
Szegi,929
Erdőbénye,930
Olaszliszka-Tolcsva,931
Bodrogolaszi,932
Sárospatak,933
Sátoraljaújhely,934
Vecsés,935
Vecsés-Kertekalja,936
Üllő,937
Monor,938
Pilis,939
Albertirsa,940
Ceglédbercel-Cserő,941
Cegléd,942
Abony,943
Szolnok,944
Szajol,946
Törökszentmiklós,947
Fegyvernek-Örményes,949
Kisújszállás,951
Karcag,953
Püspökladány,955
Kaba,956
Hajdúszoboszló,957
Ebes,958
Debrecen,959
Debrecen-Csapókert,960
Apafa,961
Bocskaikert,962
